,-100 s,-99 s,-98 s,-97 s,-96 s,-95 s,-94 s,-93 s,-92 s,-91 s,-90 s,-89 s,-88 s,-87 s,-86 s,-85 s,-84 s,-83 s,-82 s,-81 s,-80 s,-79 s,-78 s,-77 s,-76 s,-75 s,-74 s,-73 s,-72 s,-71 s,-70 s,-69 s,-68 s,-67 s,-66 s,-65 s,-64 s,-63 s,-62 s,-61 s,-60 s,-59 s,-58 s,-57 s,-56 s,-55 s,-54 s,-53 s,-52 s,-51 s,-50 s,-49 s,-48 s,-47 s,-46 s,-45 s,-44 s,-43 s,-42 s,-41 s,-40 s,-39 s,-38 s,-37 s,-36 s,-35 s,-34 s,-33 s,-32 s,-31 s,-30 s,-29 s,-28 s,-27 s,-26 s,-25 s,-24 s,-23 s,-22 s,-21 s,-20 s,-19 s,-18 s,-17 s,-16 s,-15 s,-14 s,-13 s,-12 s,-11 s,-10 s,-9 s,-8 s,-7 s,-6 s,-5 s,-4 s,-3 s,-2 s,-1 s,0 s,1 s,2 s,3 s,4 s,5 s,6 s,7 s,8 s,9 s,10 s,11 s,12 s,13 s,14 s,15 s,16 s,17 s,18 s,19 s,20 s,21 s,22 s,23 s,24 s,25 s,26 s,27 s,28 s,29 s,30 s,31 s,32 s,33 s,34 s,35 s,36 s,37 s,38 s,39 s,40 s,41 s,42 s,43 s,44 s,45 s,46 s,47 s,48 s,49 s,50 s,51 s,52 s,53 s,54 s,55 s,56 s,57 s,58 s,59 s,60 s,61 s,62 s,63 s,64 s,65 s,66 s,67 s,68 s,69 s,70 s,71 s,72 s,73 s,74 s,75 s,76 s,77 s,78 s,79 s,80 s,81 s,82 s,83 s,84 s,85 s,86 s,87 s,88 s,89 s,90 s,91 s,92 s,93 s,94 s,95 s,96 s,97 s,98 s,99 s,100 s
第46节龙身y (m),9.179724,9.640543,10.017049,10.305779,10.504015,10.609808,10.622011,10.540296,10.365165,10.09796,9.740856,9.296855,8.769768,8.16419,7.485467,6.739657,5.933484,5.074281,4.16993,3.228799,2.259664,1.271632,0.274062,-0.723524,-1.711531,-2.680382,-3.62061,-4.522955,-5.378456,-6.17854,-6.91512,-7.580677,-8.168341,-8.671976,-9.086247,-9.406687,-9.629754,-9.752881,-9.774518,-9.694158,-9.512362,-9.230763,-8.85207,-8.380048,-7.819498,-7.176217,-6.456951,-5.669336,-4.821825,-3.923606,-2.984516,-2.014934,-1.025678,-0.027886,0.967107,1.947892,2.90312,3.821631,4.692594,5.50563,6.25095,6.919478,7.502967,7.994121,8.38669,8.675567,8.856872,8.928016,8.887756,8.736233,8.474998,8.107006,7.636614,7.069538,6.412812,5.67471,4.864666,3.993164,3.07162,2.112244,1.127888,0.131884,-0.862134,-1.840409,-2.789253,-3.695241,-4.545406,-5.327431,-6.02984,-6.642183,-7.1552,-7.560992,-7.853154,-8.026906,-8.079198,-8.008785,-7.816289,-7.504219,-7.076981,-6.540834,-5.90384,-5.187887,-4.409128,-3.554378,-2.635418,-1.675831,-0.696842,0.293456,1.271446,2.224211,3.197904,3.918021,4.399455,4.912995,5.620177,6.405323,6.863496,7.104321,7.223458,7.199776,7.039876,6.734671,6.328588,5.756524,5.110255,4.355073,3.483387,2.614815,1.613525,0.640903,-0.346003,-1.364718,-2.268165,-3.196718,-4.002234,-4.711231,-5.341267,-5.797957,-6.151004,-6.339416,-6.375815,-6.250174,-5.988251,-5.552514,-4.988882,-4.320555,-3.490061,-2.645297,-1.672904,-0.678719,0.28808,1.314609,2.214135,3.097023,3.872734,4.493403,5.016534,5.343443,5.514437,5.500769,5.316521,4.931294,4.413638,3.729168,2.901587,2.037221,1.02428,0.051183,-0.937896,-1.907878,-2.725159,-3.492416,-4.060581,-4.458663,-4.663835,-4.652442,-4.418124,-3.989809,-3.375497,-2.503269,-1.576782,-0.536999,0.373945,1.088123,1.566908,1.698985,1.497642,1.039196,1.030128,1.702266,2.715961,3.604733,4.162895,4.525578,4.678082,4.615994,4.344747,3.878797,3.240472,2.458582,1.566878
第47节龙身x (m),-6.99986,-6.194194,-5.337344,-4.436566,-3.499549,-2.534348,-1.549324,-0.553067,0.44567,1.438049,2.415229,3.368438,4.289056,5.168696,5.99928,6.773119,7.482986,8.12219,8.684644,9.164928,9.55835,9.860999,10.069789,10.182503,10.197823,10.115353,9.935638,9.660169,9.291379,8.832636,8.28822,7.66329,6.963849,6.196693,5.369354,4.490033,3.567527,2.611144,1.630621,0.636021,-0.362358,-1.354097,-2.328756,-3.275987,-4.185648,-5.047908,-5.853363,-6.593142,-7.25901,-7.84347,-8.339853,-8.742408,-9.046376,-9.248062,-9.34489,-9.335449,-9.219528,-8.998138,-8.673518,-8.249126,-7.729621,-7.120824,-6.429671,-5.664145,-4.833198,-3.946656,-3.01512,-2.049842,-1.062601,-0.065563,0.928862,1.908171,2.859931,3.771931,4.632346,5.429899,6.154011,6.794958,7.344008,7.793562,8.137268,8.370135,8.488623,8.490715,8.375977,8.145591,7.802366,7.350734,6.796712,6.147847,5.413138,4.602934,3.728801,2.803385,1.840234,0.853623,-0.141656,-1.130506,-2.097749,-3.028366,-3.907726,-4.709584,-5.423601,-6.062201,-6.610617,-7.051439,-7.37484,-7.577598,-7.654117,-7.603238,-7.407507,-7.152309,-6.918209,-6.599637,-6.006847,-5.004274,-4.046904,-3.190989,-2.209175,-1.25928,-0.264383,0.758251,1.688828,2.667414,3.527351,4.329297,5.065858,5.645511,6.155839,6.507533,6.726698,6.805374,6.739327,6.516297,6.162235,5.679107,5.038296,4.345261,3.492726,2.597675,1.663234,0.633636,-0.318218,-1.333047,-2.276619,-3.132853,-3.959777,-4.614134,-5.187441,-5.603879,-5.855842,-5.955922,-5.886816,-5.645141,-5.238978,-4.709346,-3.991952,-3.21868,-2.313695,-1.335836,-0.382361,0.660176,1.596418,2.50621,3.334745,3.990698,4.551613,4.906991,5.088454,5.072573,4.872639,4.456244,3.89077,3.168214,2.284017,1.385041,0.35205,-0.632016,-1.5734,-2.473046,-3.158997,-3.633412,-3.763382,-3.56706,-3.026848,-2.290915,-1.319871,-0.312118,0.61703,1.569247,2.568791,3.178305,3.102675,2.421266,1.548927,0.590334,-0.408298,-1.400651,-2.342375,-3.192913,-3.917011
第47节龙身y (m),8.244757,8.835462,9.349095,9.781058,10.127427,10.384994,10.551304,10.624686,10.604275,10.490029,10.282742,9.984046,9.596405,9.123104,8.568228,7.936638,7.23393,6.4664,5.640988,4.765225,3.847169,2.895337,1.918629,0.926247,-0.072383,-1.067705,-2.050121,-3.010082,-3.938183,-4.825257,-5.662469,-6.441407,-7.154169,-7.793453,-8.352638,-8.825857,-9.208069,-9.495122,-9.683808,-9.771909,-9.758232,-9.64264,-9.426063,-9.11051,-8.699054,-8.195825,-7.605972,-6.935625,-6.191846,-5.382559,-4.516482,-3.603037,-2.652257,-1.674686,-0.681263,0.316793,1.308109,2.281283,3.22502,4.12826,4.980314,5.770997,6.490752,7.130779,7.683149,8.140918,8.498222,8.75037,8.893921,8.926746,8.848078,8.658543,8.360173,7.956413,7.452088,6.853376,6.167743,5.403873,4.571569,3.68165,2.745816,1.776512,0.786768,-0.209964,-1.199991,-2.169566,-3.105074,-3.993232,-4.82128,-5.577177,-6.249785,-6.829047,-7.306162,-7.67373,-7.925897,-8.058468,-8.069007,-7.956905,-7.723429,-7.371739,-6.906875,-6.345499,-5.701741,-4.964598,-4.142774,-3.256432,-2.324922,-1.355581,-0.371105,0.615795,1.65654,2.451163,2.99682,3.594569,4.453012,5.485375,6.173841,6.617376,6.966183,7.162228,7.230057,7.156381,6.958575,6.60267,6.143333,5.559044,4.840019,4.086883,3.180757,2.265618,1.303219,0.273116,-0.674604,-1.688138,-2.608652,-3.463327,-4.278022,-4.928514,-5.514747,-5.943613,-6.227328,-6.370389,-6.353496,-6.175232,-5.84695,-5.387884,-4.753975,-4.05872,-3.209239,-2.293675,-1.360258,-0.321266,0.634751,1.624359,2.55173,3.355498,4.115337,4.689413,5.142902,5.428335,5.530474,5.45258,5.205175,4.776717,4.174093,3.478582,2.59679,1.689565,0.707219,-0.322556,-1.255439,-2.212598,-3.01409,-3.694339,-4.231884,-4.54878,-4.682089,-4.594752,-4.301386,-3.781405,-3.116083,-2.186688,-1.194888,-0.231949,0.66759,1.280557,1.647084,1.66613,1.365659,0.954966,1.19761,2.026861,3.073021,3.819308,4.311929,4.602785,4.680767,4.544953,4.204021,3.675306,2.983556
第48节龙身x (m),-8.201297,-7.494818,-6.726257,-5.902037,-5.029103,-4.114867,-3.167154,-2.19413,-1.204244,-0.206151,0.791359,1.779439,2.749263,3.692103,4.599412,5.462903,6.274623,7.027037,7.713096,8.326312,8.860823,9.311455,9.673782,9.944175,10.119846,10.198886,10.180295,10.064002,9.85088,9.542746,9.142362,8.653411,8.080484,7.429036,6.70535,5.916484,5.070209,4.174939,3.239659,2.273833,1.287323,0.290282,-0.70694,-1.693903,-2.66019,-3.595512,-4.489824,-5.333431,-6.117104,-6.832181,-7.470673,-8.02536,-8.489883,-8.858827,-9.127794,-9.29347,-9.353679,-9.307422,-9.154909,-8.897575,-8.538081,-8.080303,-7.529305,-6.8913,-6.173591,-5.384504,-4.533301,-3.630088,-2.6857,-1.711584,-0.719665,0.277792,1.268331,2.23946,3.178806,4.074278,4.914226,5.687598,6.384098,6.99433,7.509941,7.923752,8.22987,8.423796,8.502507,8.464528,8.309977,8.040595,7.659749,7.172419,6.585152,5.906001,5.144436,4.311232,3.418337,2.478717,1.506185,0.515204,-0.479315,-1.462233,-2.418412,-3.318943,-4.150973,-4.929122,-5.637337,-6.254555,-6.767258,-7.170882,-7.455257,-7.616627,-7.649101,-7.571412,-7.461023,-7.279877,-6.888551,-6.136851,-5.35508,-4.618934,-3.73964,-2.857861,-1.903822,-0.891079,0.060073,1.094094,2.036574,2.951816,3.835261,4.574783,5.283632,5.841493,6.28292,6.605327,6.768832,6.797238,6.677468,6.41789,5.997086,5.486517,4.806724,4.047629,3.214867,2.255245,1.330644,0.304117,-0.692213,-1.638391,-2.602519,-3.417128,-4.195529,-4.841799,-5.336019,-5.714442,-5.909477,-5.949875,-5.817242,-5.533715,-5.05979,-4.481689,-3.744684,-2.891099,-2.008831,-0.989511,-0.022084,0.974133,1.945833,2.78237,3.587117,4.206444,4.686509,4.997301,5.106021,5.02103,4.748124,4.290412,3.636176,2.896813,1.971349,1.017743,0.033323,-0.991926,-1.87768,-2.735299,-3.369272,-3.710891,-3.726974,-3.425547,-2.794341,-1.948517,-1.000771,0.046157,0.918823,1.921947,2.852013,3.237313,2.91262,2.130977,1.223531,0.245725,-0.755939,-1.735599,-2.650029
第48节龙身y (m),7.113806,7.82014,8.458354,9.022839,9.508585,9.911223,10.227073,10.453186,10.587376,10.628248,10.575223,10.428549,10.18931,9.859427,9.441652,8.93955,8.357477,7.700555,6.974628,6.186219,5.342481,4.451134,3.520402,2.558944,1.575773,0.580179,-0.41836,-1.410264,-2.38594,-3.33588,-4.250754,-5.121498,-5.939415,-6.69626,-7.384332,-7.996557,-8.526566,-8.968772,-9.318436,-9.571728,-9.725779,-9.778722,-9.729727,-9.579027,-9.327925,-8.978798,-8.53509,-8.001284,-7.382875,-6.686321,-5.918989,-5.089086,-4.205581,-3.278119,-2.316919,-1.332673,-0.336429,0.660529,1.646805,2.611021,3.54195,4.428648,5.260587,6.027787,6.720941,7.331539,7.851981,8.275687,8.59719,8.812225,8.917796,8.912241,8.79527,8.567994,8.232933,7.794009,7.256518,6.627087,5.91361,5.125162,4.271909,3.364983,2.416353,1.438679,0.44515,-0.550684,-1.535096,-2.494368,-3.414985,-4.283829,-5.08837,-5.816864,-6.458531,-7.003732,-7.444137,-7.772866,-7.984627,-8.07582,-8.044632,-7.891093,-7.617117,-7.233541,-6.75194,-6.164028,-5.47515,-4.701242,-3.858983,-2.954669,-2.009078,-1.034151,0.024323,0.855277,1.438663,2.091315,3.058345,4.285472,5.168268,5.790652,6.349599,6.753523,7.043668,7.203395,7.2225,7.099825,6.8505,6.467365,5.939169,5.342288,4.581385,3.775218,2.89242,1.910944,0.975132,-0.062231,-1.041159,-1.987962,-2.935182,-3.736862,-4.516796,-5.156126,-5.666136,-6.06562,-6.292227,-6.380643,-6.307557,-6.08723,-5.692245,-5.194359,-4.527803,-3.757142,-2.926235,-1.9535,-1.015093,0.002743,1.006378,1.926192,2.857473,3.627664,4.321457,4.877283,5.252813,5.484748,5.526037,5.389286,5.064838,4.602167,3.935538,3.183463,2.307513,1.325726,0.377972,-0.66227,-1.604323,-2.484723,-3.28628,-3.887688,-4.365279,-4.622926,-4.676809,-4.508581,-4.155664,-3.570846,-2.797129,-1.875668,-0.826506,0.082597,0.906519,1.454706,1.690032,1.589551,1.187265,0.957251,1.442172,2.385234,3.383036,4.012089,4.43657,4.654246,4.657587,4.449088,4.04056
第49节龙身x (m),-9.217411,-8.626078,-7.963324,-7.234604,-6.445973,-5.604042,-4.715922,-3.789176,-2.831754,-1.851929,-0.858227,0.140641,1.135857,2.118573,3.079989,4.011432,4.904435,5.750821,6.542773,7.272917,7.934392,8.520919,9.026869,9.447324,9.778127,10.015936,10.158266,10.20352,10.151019,10.001017,9.754716,9.41426,8.982733,8.464137,7.863363,7.186161,6.439087,5.629452,4.765258,3.855125,2.908213,1.934133,0.942857,-0.055381,-1.050191,-2.03113,-2.987813,-3.910025,-4.78783,-5.611686,-6.372547,-7.061975,-7.672237,-8.196403,-8.628432,-8.963254,-9.19684,-9.326265,-9.349755,-9.266727,-9.077814,-8.784874,-8.39099,-7.900452,-7.318724,-6.652402,-5.909148,-5.097621,-4.227384,-3.308804,-2.352939,-1.371414,-0.376284,0.620107,1.605276,2.566757,3.492261,4.369835,5.18802,5.936011,6.60381,7.182368,7.663726,8.041136,8.309178,8.463853,8.502666,8.424684,8.230583,7.922662,7.504844,6.98265,6.363149,5.654886,4.867789,4.013043,3.102957,2.150798,1.170613,0.177034,-0.814939,-1.774999,-2.688384,-3.571308,-4.407166,-5.172247,-5.850031,-6.434905,-6.912702,-7.277353,-7.534813,-7.636904,-7.654455,-7.618224,-7.445414,-6.978806,-6.409346,-5.828267,-5.094401,-4.324484,-3.459374,-2.508357,-1.586062,-0.551181,0.423295,1.401946,2.383268,3.240866,4.107335,4.838357,5.475096,6.020572,6.402034,6.677827,6.797172,6.774481,6.596974,6.298309,5.831645,5.254753,4.575529,3.746908,2.90954,1.939226,0.957391,-0.013575,-1.047092,-1.963359,-2.889492,-3.716585,-4.414261,-5.039769,-5.481124,-5.797041,-5.944747,-5.926413,-5.730543,-5.391818,-4.881143,-4.221505,-3.484451,-2.576154,-1.663105,-0.670909,0.353243,1.289975,2.258695,3.078128,3.804861,4.405857,4.806995,5.056682,5.100399,4.952724,4.597176,4.09869,3.386565,2.57662,1.670295,0.650416,-0.302706,-1.311965,-2.204785,-2.965295,-3.532827,-3.756759,-3.655643,-3.226687,-2.546005,-1.603808,-0.650244,0.358253,1.255758,2.274278,3.061041,3.205919,2.663814,1.826709,0.88959,-0.101806,-1.100952
第49节龙身y (m),5.813801,6.618995,7.366491,8.049821,8.663022,9.200688,9.658024,10.030898,10.315879,10.51028,10.612187,10.620486,10.534884,10.355919,10.084966,9.724235,9.276763,8.746391,8.137746,7.456203,6.707847,5.899426,5.038297,4.132361,3.19,2.220005,1.231492,0.233827,-0.763467,-1.750798,-2.718591,-3.657391,-4.55795,-5.411322,-6.208958,-6.942792,-7.605331,-8.189738,-8.689909,-9.100543,-9.41721,-9.636408,-9.755612,-9.77331,-9.689039,-9.503401,-9.218071,-8.835799,-8.360388,-7.796677,-7.1505,-6.428634,-5.638744,-4.789309,-3.88954,-2.949292,-1.978958,-0.989363,0.00835,1.002846,1.982723,2.936643,3.853462,4.72237,5.533014,6.275634,6.941188,7.521469,8.009219,8.398235,8.683455,8.861047,8.92847,8.884532,8.729423,8.46474,8.093487,7.620063,7.050227,6.391047,5.650832,4.839042,3.966185,3.043693,2.083785,1.099316,0.103615,-0.889695,-1.866874,-2.814259,-3.718455,-4.566533,-5.346218,-6.046083,-6.655728,-7.165952,-7.568911,-7.858262,-8.029285,-8.078988,-8.006185,-7.81555,-7.515704,-7.101494,-6.574777,-5.946677,-5.23055,-4.431435,-3.567325,-2.648893,-1.621714,-0.793423,-0.199959,0.476378,1.505153,2.866454,3.899007,4.668149,5.407727,5.997535,6.493434,6.876426,7.10962,7.224607,7.196666,7.033405,6.722888,6.313455,5.73846,5.085263,4.331142,3.45385,2.583846,1.583442,0.604493,-0.376956,-1.398095,-2.300375,-3.223723,-4.031249,-4.732809,-5.360323,-5.813074,-6.159467,-6.34369,-6.374409,-6.242834,-5.974779,-5.536151,-4.963952,-4.294761,-3.459261,-2.608522,-1.640163,-0.638688,0.323604,1.349961,2.251378,3.125229,3.901312,4.514541,5.031908,5.354136,5.517098,5.496295,5.305914,4.914209,4.387375,3.702216,2.866081,2.00065,0.987345,0.007633,-0.973484,-1.94502,-2.757204,-3.516947,-4.082182,-4.469874,-4.667362,-4.647555,-4.405484,-3.96609,-3.347601,-2.465044,-1.533819,-0.50084,0.411259,1.111453,1.578808,1.697686,1.483902,1.024476,1.045434,1.739725,2.760291,3.631532,4.182028,4.5362,4.679778,4.608769
第50节龙身x (m),-10.025544,-9.562496,-9.020428,-8.403723,-7.717423,-6.967197,-6.159298,-5.300517,-4.398127,-3.459833,-2.493704,-1.508107,-0.511642,0.486937,1.478792,2.455084,3.407047,4.326074,5.203789,6.032131,6.80343,7.510482,8.146622,8.705788,9.182593,9.572377,9.871261,10.076196,10.185002,10.196398,10.110026,9.92647,9.647257,9.27486,8.812682,8.265036,7.637117,6.934957,6.165381,5.335947,4.454877,3.530986,2.573601,1.592468,0.597658,-0.40053,-1.391676,-2.365346,-3.311204,-4.219119,-5.079281,-5.882308,-6.619355,-7.282219,-7.863435,-8.356371,-8.755315,-9.05555,-9.253423,-9.346404,-9.333125,-9.213424,-8.988354,-8.660198,-8.232459,-7.709834,-7.098184,-6.404478,-5.636732,-4.803923,-3.915902,-2.983286,-2.017339,-1.029848,-0.03298,0.960859,1.939178,2.889558,3.799812,4.658143,5.453303,6.174752,6.812808,7.358784,7.805128,8.145541,8.375082,8.490265,8.489125,8.371282,8.137965,7.792033,7.337959,6.7818,6.131136,5.394994,4.58374,3.708954,2.783285,1.820276,0.834188,-0.144558,-1.099955,-2.049125,-2.975642,-3.854226,-4.666144,-5.405049,-6.053508,-6.603505,-7.072569,-7.348408,-7.492123,-7.601389,-7.653522,-7.49192,-7.160432,-6.76136,-6.20768,-5.586778,-4.853052,-4.011202,-3.164485,-2.181986,-1.226432,-0.236303,0.789973,1.718625,2.694355,3.556933,4.351951,5.087904,5.663706,6.168781,6.518067,6.731332,6.805301,6.734394,6.507096,6.146055,5.661084,5.014342,4.316741,3.464761,2.561563,1.630485,0.597819,-0.356547,-1.364791,-2.312718,-3.161956,-3.986596,-4.639088,-5.203779,-5.617276,-5.862242,-5.956123,-5.880404,-5.633994,-5.219412,-4.686566,-3.964138,-3.182787,-2.280846,-1.295656,-0.344584,0.696802,1.636726,2.537131,3.365432,4.014599,4.56829,4.918842,5.091454,5.067605,4.860433,4.437689,3.861732,3.138478,2.246565,1.344882,0.314599,-0.675632,-1.608197,-2.506054,-3.184719,-3.64417,-3.761374,-3.55292,-2.999443,-2.252344,-1.282972,-0.267342,0.652122,1.611856,2.606013,3.189575,3.083641,2.387204,1.510308,0.549047
第50节龙身y (m),4.375253,5.260459,6.099593,6.885493,7.611397,8.271007,8.858546,9.368818,9.797251,10.139953,10.393747,10.556211,10.625707,10.601404,10.483297,10.272214,9.969821,9.578615,9.101915,8.543838,7.909274,7.203849,6.433884,5.606343,4.728779,3.809267,2.856339,1.878907,0.886183,-0.112406,-1.107301,-2.088907,-3.047682,-3.974232,-4.859405,-5.694382,-6.470772,-7.180701,-7.816894,-8.37276,-8.842465,-9.221006,-9.504267,-9.68908,-9.773268,-9.755679,-9.636218,-9.415857,-9.096644,-8.681696,-8.175177,-7.582274,-6.909153,-6.162905,-5.351484,-4.48363,-3.568787,-2.617004,-1.638836,-0.645229,0.352595,1.343267,2.315393,3.257691,4.159118,5.009009,5.797206,6.514183,7.151176,7.700296,8.154639,8.508387,8.756896,8.896774,8.925939,8.843673,8.650651,8.348953,7.942067,7.434862,6.833554,6.145645,5.379847,4.54599,3.65491,2.718321,1.748675,0.759001,-0.237256,-1.226417,-2.194756,-3.128688,-4.014961,-4.840859,-5.594383,-6.264447,-6.841051,-7.315447,-7.680299,-7.929811,-8.05985,-8.068858,-7.962239,-7.738249,-7.39529,-6.93931,-6.379859,-5.720581,-4.975972,-4.155024,-3.205643,-2.418006,-1.841955,-1.173536,-0.13167,1.298266,2.429868,3.307327,4.189898,4.934938,5.610166,6.19528,6.628912,6.973654,7.166675,7.229979,7.151737,6.950071,6.590509,6.12471,5.539879,4.814964,4.059438,3.152955,2.230716,1.27248,0.2387,-0.709045,-1.71831,-2.642695,-3.490203,-4.303862,-4.951514,-5.530784,-5.95751,-6.234529,-6.372328,-6.349821,-6.166855,-5.830935,-5.369113,-4.72943,-4.027492,-3.179819,-2.255865,-1.325148,-0.284546,0.675375,1.656994,2.58728,3.38431,4.139721,4.711433,5.155707,5.436032,5.531111,5.446176,5.190407,4.758322,4.146712,3.447926,2.563407,1.647614,0.670674,-0.363503,-1.293562,-2.245084,-3.047298,-3.716921,-4.24926,-4.558369,-4.682594,-4.585921,-4.286103,-3.756646,-3.081485,-2.150801,-1.149706,-0.19569,0.698636,1.303003,1.653842,1.659036,1.347276,0.950824,1.223211,2.067538,3.113094,3.843632,4.328223,4.610352
第51节龙身x (m),-10.608038,-10.283343,-9.873912,-9.382974,-8.814465,-8.173,-7.463843,-6.69287,-5.866527,-4.991777,-4.076051,-3.127185,-2.153359,-1.16303,-0.164858,0.832365,1.819794,2.788605,3.730081,4.635685,5.497142,6.306521,7.056303,7.739466,8.349546,8.88071,9.327815,9.686469,9.953075,10.124883,10.20002,10.177524,10.057362,9.840445,9.528629,9.124709,8.632408,8.056347,7.402017,6.675728,5.884567,5.036327,4.139446,3.202924,2.23624,1.249265,0.252159,-0.744728,-1.730959,-2.696124,-3.629945,-4.522393,-5.363794,-6.144943,-6.857205,-7.492624,-8.044013,-8.50505,-8.870362,-9.135592,-9.297469,-9.353863,-9.303818,-9.147591,-8.886659,-8.523729,-8.062717,-7.508727,-6.868008,-6.147896,-5.356746,-4.503846,-3.599321,-2.654023,-1.679407,-0.687405,0.309722,1.299525,2.269524,3.207365,4.100981,4.938753,5.709662,6.403451,7.010768,7.523307,7.933937,8.236817,8.4275,8.503016,8.461943,8.304448,8.032321,7.648976,7.159432,6.570271,5.889577,5.126842,4.292856,3.399575,2.459962,1.503313,0.546199,-0.428689,-1.405799,-2.359376,-3.269332,-4.12891,-4.918247,-5.627814,-6.285908,-6.721741,-6.984142,-7.232819,-7.505797,-7.654428,-7.574739,-7.375298,-7.02706,-6.58419,-6.016825,-5.32501,-4.595661,-3.71481,-2.826853,-1.87645,-0.859132,0.091022,1.123104,2.069651,2.978293,3.862537,4.598899,5.302759,5.859994,6.29474,6.6135,6.77234,6.795622,6.670074,6.407006,5.980247,5.464595,4.783651,4.016168,3.185004,2.221103,1.292654,0.271289,-0.731229,-1.671385,-2.634849,-3.449459,-4.219121,-4.86486,-5.351677,-5.724645,-5.914465,-5.948192,-5.808366,-5.519948,-5.040025,-4.453578,-3.716913,-2.854887,-1.972898,-0.952631,0.020789,1.009148,1.983375,2.814499,3.613288,4.230783,4.700863,5.005617,5.106709,5.014031,4.731593,4.269853,3.60673,2.862293,1.936354,0.973785,-0.004617,-1.031576,-1.915368,-2.763382,-3.391419,-3.718024,-3.72009,-3.404639,-2.766571,-1.906743,-0.961264,0.085792,0.957103,1.963755,2.881229,3.238531,2.88541,2.095033
第51节龙身y (m),2.831491,3.776249,4.687479,5.557499,6.37892,7.144712,7.848267,8.483464,9.04472,9.527051,9.926117,10.238269,10.46059,10.590926,10.627918,10.57102,10.420515,10.177521,9.843996,9.422722,8.917297,8.332111,7.672313,6.943774,6.153044,5.307298,4.414276,3.48222,2.519801,1.536043,0.540243,-0.458119,-1.44946,-2.424196,-3.372825,-4.286027,-5.154757,-5.970336,-6.724542,-7.409699,-8.018762,-8.545395,-8.984045,-9.33001,-9.579497,-9.729677,-9.778725,-9.725852,-9.571331,-9.316508,-8.9638,-8.516689,-7.979698,-7.358356,-6.659155,-5.88949,-5.057595,-4.172462,-3.243755,-2.281707,-1.297019,-0.300745,0.695831,1.681319,2.64435,3.573713,4.458484,5.288159,6.052786,6.743093,7.350606,7.867765,8.288033,8.605989,8.817414,8.919361,8.910218,8.789741,8.559089,8.220829,7.778926,7.238716,6.606863,5.891292,5.101109,4.246498,3.338609,2.38942,1.411593,0.418315,-0.576876,-1.560271,-2.518178,-3.437112,-4.303992,-5.106335,-5.832443,-6.47159,-7.014195,-7.451986,-7.778145,-7.98507,-8.074822,-8.049196,-7.903317,-7.637825,-7.258162,-6.766511,-6.173336,-5.485636,-4.656044,-3.94437,-3.411813,-2.781844,-1.775044,-0.343712,0.83273,1.775798,2.757725,3.62053,4.440495,5.197078,5.807794,6.362959,6.765237,7.049932,7.206072,7.221016,7.094167,6.839198,6.453972,5.919942,5.319869,4.557414,3.743805,2.863671,1.877514,0.940518,-0.093733,-1.078117,-2.018436,-2.96613,-3.766217,-4.539306,-5.17865,-5.681381,-6.07661,-6.298489,-6.380732,-6.301459,-6.076713,-5.675622,-5.170856,-4.503809,-3.724324,-2.894168,-1.918228,-0.974273,0.037186,1.045971,1.960241,2.888734,3.659012,4.343173,4.89631,5.264475,5.489444,5.523943,5.381033,5.048054,4.580296,3.908945,3.147305,2.273776,1.285332,0.337955,-0.699015,-1.645213,-2.515883,-3.315208,-3.910322,-4.378605,-4.62979,-4.67473,-4.497197,-4.135642,-3.546047,-2.757696,-1.837408,-0.785671,0.122022,0.931738,1.472319,1.692945,1.578222,1.163273,0.963063,1.475556,2.430217,3.416305,4.033787
